,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
50,50,1259830,2024-12-25,city scrape,3622853,within an hour,100%,100%,t,19,21,"['email', 'phone']","Athens, Attica, Greece",37.98103,23.71538,Entire loft,Entire home/apt,3,1.0,1.0,1.0,"[""Breakfast"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""43 inch HDTV with Netflix, standard cable"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Pets allowed"", ""Hangers"", ""Crib"", ""Hot water"", ""Garden view"", ""Oven"", ""Stove"", ""Long term stays allowed"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Coffee maker""]",107.0,2,1125,1,2,300,365,1.0,364.4,25,55,85,351,356,46,1,4.9,4.9,4.93,4.94,4.95,4.77,4.85,00002410777,7,7,0,0,2.57
52,52,536197,2024-12-26,city scrape,1418201,within an hour,100%,99%,t,40,51,"['email', 'phone']","Athens, Attica, Greece",37.97506,23.73068,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Conditioner"", ""Cleaning products"", ""Central air conditioning"", ""TV"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ethernet connection"", ""Coffee maker: french press"", ""Clothing storage"", ""Electric stove"", ""Private entrance"", ""Hangers"", ""Freezer"", ""Hot water"", ""Oven"", ""Laundromat nearby"", ""High chair - available upon request"", ""Baking sheet"", ""Long term stays allowed"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking garage off premises"", ""Shampoo"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Babysitter recommendations"", ""Dining table"", ""Single level home"", ""Central heating"", ""Wifi \u2013 12 Mbps"", ""Kitchen"", ""Body soap"", ""Pack \u2019n play/Travel crib - available upon request"", ""Fire extinguisher"", ""Elevator""]",129.0,3,365,3,3,365,365,3.0,365.0,30,60,90,365,33,2,0,4.84,4.91,4.91,4.88,4.88,5.0,4.76,00002955352,39,39,0,0,0.22
70,70,695173,2024-12-25,city scrape,3557919,within a day,100%,100%,t,1,1,"['email', 'phone', 'work_email']","Athens, Attiki, Greece",37.96341,23.72875,Entire condo,Entire home/apt,5,2.0,2.0,3.0,"[""Host greets you"", ""Heating - split type ductless system"", ""Breakfast"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Crib - always at the listing"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Cooking basics"", ""Ethernet connection"", ""Private entrance"", ""Electric stove"", ""Pets allowed"", ""Hangers"", ""High chair"", ""Indoor fireplace"", ""Hot water"", ""Oven"", ""Coffee maker: drip coffee maker, french press"", ""Microwave"", ""Paid parking off premises"", ""SMEG refrigerator"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Single level home"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Free street parking"", ""Kitchen"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Wifi""]",120.0,3,120,3,3,1125,1125,3.0,1125.0,4,34,51,243,252,13,0,4.88,4.92,4.92,4.93,4.93,4.74,4.85,00000007859,1,1,0,0,1.94
76,76,1372935,2024-12-26,city scrape,6330438,,,,f,2,2,"['email', 'phone']","Athens, Attica, Greece",37.97587,23.73311,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,"[""Dishes and silverware"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Ethernet connection"", ""Hangers"", ""Hot water"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Elevator"", ""TV with standard cable"", ""Wifi"", ""Coffee maker""]",130.0,2,1125,2,2,1125,1125,2.0,1125.0,15,38,62,225,49,0,0,4.78,4.79,4.66,4.91,4.9,4.94,4.65,01118486987,1,1,0,0,0.36
88,88,800755,2024-12-25,city scrape,121318,within an hour,100%,100%,t,2,4,"['email', 'phone']","Athens, Attica, Greece",37.97835,23.72368,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Cleaning products"", ""Shower gel"", ""Central air conditioning"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Heating"", ""Dedicated workspace"", ""Park view"", ""Safe"", ""Cooking basics"", ""Self check-in"", ""Drying rack for clothing"", ""Stainless steel oven"", ""Ethernet connection"", ""Crib - available upon request"", ""Clothing storage"", ""Electric stove"", ""Private entrance"", ""Sun loungers"", ""Hangers"", ""Freezer"", ""Elevator"", ""Garden view"", ""Hot water"", ""Books and reading material"", ""Keypad"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Private sauna"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""Hammock"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Mountain view"", ""Outdoor shower"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Wifi \u2013 44 Mbps"", ""Smoke alarm"", ""Dishwasher"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, Nespresso, pour-over coffee"", ""Wine glasses"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Jbl portable  Bluetooth sound system"", ""Carbon monoxide alarm"", ""Artisti Italiani body soap"", ""55 inch HDTV with standard cable, Chromecast, Netflix"", ""Fire extinguisher""]",177.0,2,1125,2,2,1125,1125,2.0,1125.0,23,46,68,333,436,37,2,4.95,4.97,4.97,4.95,4.98,4.92,4.84,00002423043,1,1,0,0,3.03
89,89,1499953,2024-12-25,city scrape,8015565,within a few hours,100%,100%,t,1,1,"['email', 'phone']","Athens, Attica, Greece",37.97865,23.74152,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,"[""Breakfast"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Children\u2019s books and toys"", ""TV"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Free dryer \u2013 In unit"", ""Dedicated workspace"", ""Cooking basics"", ""Self check-in"", ""Hangers"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Long term stays allowed"", ""Paid parking off premises"", ""Iron"", ""Room-darkening shades"", ""Shampoo"", ""Building staff"", ""Dishwasher"", ""Smoke alarm"", ""First aid kit"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",161.0,4,365,4,4,1125,1125,4.0,1125.0,15,45,75,344,166,13,1,4.84,4.91,4.91,4.94,4.92,4.92,4.81,00000444217,1,1,0,0,1.2
94,94,1654320,2024-12-25,city scrape,1781590,within an hour,100%,100%,t,2,2,"['email', 'phone']",,37.98343,23.73923,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Heating - split type ductless system"", ""Dishes and silverware"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Ethernet connection"", ""Hangers"", ""50 inch HDTV with Netflix, Chromecast"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Long term stays allowed"", ""Iron"", ""Fast wifi \u2013 99 Mbps"", ""Bed linens"", ""AC - split type ductless system"", ""Coffee maker: Nespresso"", ""Free washer \u2013 In unit"", ""Single level home"", ""Kitchen"", ""Elevator""]",128.0,4,1125,4,4,1125,1125,4.0,1125.0,30,60,90,365,66,13,0,4.83,4.73,4.82,4.91,4.92,4.83,4.61,00000852827,1,1,0,0,1.01
96,96,3631750,2024-12-26,city scrape,12219175,within an hour,100%,100%,t,3,3,"['email', 'phone']","Athens, Greece",37.97738,23.7245,Entire loft,Entire home/apt,4,1.0,1.0,3.0,"[""Host greets you"", ""Heating - split type ductless system"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Toaster"", ""Shower gel"", ""Hair dryer"", ""Whirlpool stainless steel electric stove"", ""Free washer \u2013 In building"", ""Essentials"", ""Ceiling fan"", ""ALASKA oven"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Portable heater"", ""Hangers"", ""Wifi \u2013 30 Mbps"", ""Crib"", ""Hot water"", ""Books and reading material"", ""Coffee maker: drip coffee maker, french press"", ""High chair - available upon request"", ""Long term stays allowed"", ""Courtyard view"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Outdoor dining area"", ""Paid parking garage off premises"", ""Korres shampoo"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Elevator"", ""Baby bath"", ""MORRIS refrigerator""]",120.0,2,30,2,2,1125,1125,2.0,1125.0,17,47,77,326,288,5,2,4.92,4.94,4.98,4.99,4.99,4.88,4.91,00000504008,3,3,0,0,2.28
97,97,3634873,2024-12-25,city scrape,18257083,,,100%,t,1,2,"['email', 'phone']","Athina, Greece",37.97672,23.71096,Entire rental unit,Entire home/apt,2,2.5,1.0,1.0,"[""Host greets you"", ""65 inch HDTV with Chromecast, standard cable, Netflix"", ""Dishes and silverware"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""City skyline view"", ""Iron"", ""Outdoor dining area"", ""Shampoo"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Outdoor furniture"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Coffee maker""]",101.0,1,90,1,1,1125,1125,1.0,1125.0,0,0,0,115,87,6,0,4.93,4.94,4.98,4.98,5.0,4.77,4.88,00000720958,1,1,0,0,0.83
98,98,3659371,2024-12-25,city scrape,18544344,,,,f,3,6,"['email', 'phone']","Athens, Greece",37.973968505859375,23.716068267822266,Entire home,Entire home/apt,4,2.0,2.0,2.0,"[""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Shower gel"", ""TV"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Drying rack for clothing"", ""Private entrance"", ""Clothing storage"", ""Hangers"", ""Free washer"", ""Hot water"", ""Crib"", ""Oven"", ""Blender"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: espresso machine, french press"", ""Bathtub"", ""Building staff"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Backyard"", ""Free street parking"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Fire extinguisher"", ""Wifi""]",100.0,2,30,1,2,30,30,2.0,30.0,21,51,70,309,4,0,0,4.5,4.75,4.75,4.5,4.75,4.75,4.5,00000516603,3,3,0,0,0.03
105,105,1743425,2024-12-25,city scrape,9014897,within an hour,100%,88%,f,2,2,"['email', 'phone']","Athens, Attica, Greece",37.98742,23.73689,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Host greets you"", ""Breakfast"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Smoking allowed"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Park view"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Long term stays allowed"", ""Air conditioning"", ""City skyline view"", ""Iron"", ""Mountain view"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Babysitter recommendations"", ""Outdoor furniture"", ""Private patio or balcony"", ""Backyard"", ""Free parking on premises"", ""Free street parking"", ""Kitchen"", ""Pocket wifi"", ""Fire extinguisher"", ""Portable fans"", ""Wifi"", ""Coffee maker""]",103.0,3,12,3,3,1125,1125,3.0,1125.0,18,48,78,238,305,25,1,4.9,4.89,4.89,4.94,4.93,4.8,4.9,00001208312,2,2,0,0,2.27
106,106,1793287,2024-12-25,city scrape,3670650,,,,f,1,1,['phone'],"Athens, Attica, Greece",37.97842,23.74032,Entire rental unit,Entire home/apt,4,1.5,2.0,4.0,"[""Air conditioning"", ""Kitchen"", ""Iron"", ""Smoking allowed"", ""Washer"", ""Hangers"", ""TV"", ""Hair dryer"", ""Shampoo"", ""Elevator"", ""Heating"", ""Wifi""]",120.0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,268,0,0,0,,,,,,,,,1,1,0,0,
114,114,3831850,2024-12-26,city scrape,19726147,,,100%,t,8,8,"['email', 'phone']","Athens, Greece",37.97575,23.73114,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Shower gel"", ""TV"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Housekeeping available from 10:00\u202fAM to 1:00\u202fPM, every day - included with your stay"", ""Ethernet connection"", ""Pets allowed"", ""Hangers"", ""High chair"", ""Paid washer \u2013 In building"", ""Crib"", ""Hot water"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Smoke alarm"", ""Hot water kettle"", ""First aid kit"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Baby bath"", ""Wifi"", ""Coffee maker""]",120.0,2,1124,2,2,1125,1125,2.0,1125.0,29,57,87,362,237,2,0,4.87,4.94,4.96,4.97,4.95,4.92,4.82,00001381502,8,8,0,0,1.95
