,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
253,253,6145084,2024-12-25,city scrape,8210083,within an hour,100%,100%,t,1,2,"['email', 'phone']","Athina, Attica, Greece",37.97072,23.71463,Private room in home,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Freezer"", ""Garden view"", ""Hot water"", ""Oven"", ""Blender"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Portable air conditioning"", ""Courtyard view"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Carbon monoxide alarm"", ""Ariston stainless steel gas stove"", ""Shared patio or balcony"", ""43 inch HDTV with Netflix, standard cable, DVD player"", ""Wifi \u2013 7 Mbps"", ""Coffee maker""]",52.0,2,22,2,2,1125,1125,2.0,1125.0,0,0,22,297,252,13,0,4.97,4.96,4.99,4.98,4.99,4.96,4.95,00000537066,1,0,1,0,2.16
257,257,6222877,2024-12-25,city scrape,2089542,within an hour,100%,92%,f,55,77,"['email', 'phone']","Athina, Greece",37.96364,23.72181,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Dishes and silverware"", ""Washer"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""TV with standard cable"", ""Wifi"", ""Coffee maker""]",40.0,1,22,1,1,22,22,1.0,22.0,29,59,89,361,333,1,0,4.82,4.85,4.93,4.85,4.83,4.76,4.82,00000164499,53,11,42,0,2.85
267,267,8982912,2024-12-25,city scrape,46931484,within an hour,100%,98%,t,2,2,"['email', 'phone']","Athina, Greece",37.982,23.71701,Private room in home,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Toaster"", ""Essentials"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Ethernet connection"", ""Private entrance"", ""Hangers"", ""Hot water"", ""Books and reading material"", ""Long term stays allowed"", ""Window AC unit"", ""City skyline view"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Mini fridge"", ""Shampoo"", ""Hot water kettle"", ""First aid kit"", ""Single level home"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Free street parking"", ""Body soap"", ""Kitchenette"", ""Elevator"", ""Wifi"", ""Coffee maker""]",35.0,4,30,4,4,1125,1125,4.0,1125.0,22,52,82,255,126,19,1,4.79,4.81,4.76,4.95,4.89,4.85,4.87,00000416609,2,1,1,0,1.34
279,279,9291989,2024-12-25,city scrape,48245392,within an hour,100%,100%,t,3,6,"['email', 'phone']","Athina, Attica, Greece",37.98476,23.74285,Private room in condo,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Private living room"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Toaster"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Bosch stainless steel electric stove"", ""Hangers"", ""Clothing storage: closet"", ""Hot water"", ""Oven"", ""Blender"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Window AC unit"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Mountain view"", ""Bed linens"", ""Outdoor dining area"", ""Paid parking garage off premises"", ""Shampoo"", ""Fast wifi \u2013 97 Mbps"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Portable fans"", ""Coffee maker""]",38.0,2,60,2,2,1125,1125,2.0,1125.0,15,42,65,317,690,90,1,4.92,4.92,4.95,4.96,4.98,4.77,4.91,00000083384,2,1,1,0,6.25
300,300,9745267,2024-12-25,city scrape,443874,within an hour,100%,100%,f,4,6,"['email', 'phone']","Athina, Greece",37.97624,23.72346,Private room in home,Private room,2,1.0,1.0,1.0,"[""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Stainless steel electric stove"", ""Lockbox"", ""Drying rack for clothing"", ""Portable heater"", ""Bidet"", ""Ethernet connection"", ""Sun loungers"", ""Pets allowed"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Crib"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Blender"", ""Laundromat nearby"", ""Baking sheet"", ""Paid washer \u2013 In unit"", ""Long term stays allowed"", ""Hammock"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Bed linens"", ""AC - split type ductless system"", ""Mini fridge"", ""Outdoor dining area"", ""Shampoo"", ""Paid parking garage off premises"", ""Bathtub"", ""Coffee maker: Nespresso"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""TV with standard cable, Netflix"", ""First aid kit"", ""Wine glasses"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Board games"", ""Barbecue utensils"", ""Paid resort access"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Rice maker"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Portable fans"", ""Wifi""]",38.0,1,28,1,1,1125,1125,1.0,1125.0,29,59,89,179,81,16,0,4.56,4.58,4.52,4.75,4.65,4.88,4.66,00000599090,4,2,2,0,0.73
303,303,6881456,2024-12-25,city scrape,35575584,within a few hours,100%,100%,t,1,1,"['email', 'phone', 'work_email']","Athina, Greece",37.97927,23.72541,Private room in condo,Private room,2,1.5,1.0,2.0,"[""Coffee"", ""Outlet covers"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Children\u2019s books and toys"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Refrigerator"", ""Toaster"", ""Essentials"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Drying rack for clothing"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""Pets allowed"", ""Hangers"", ""Smoking allowed"", ""Hot water"", ""45 inch HDTV with DVD player"", ""Books and reading material"", ""Laundromat nearby"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Mini fridge"", ""Coffee maker: drip coffee maker"", ""Shampoo"", ""Paid parking garage off premises"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Wine glasses"", ""Bread maker"", ""Babysitter recommendations"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Central heating"", ""Private patio or balcony"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Carbon monoxide alarm"", ""Changing table"", ""Stainless steel induction stove"", ""Fire extinguisher"", ""Elevator"", ""Portable fans"", ""Wifi""]",44.0,2,40,2,2,40,40,2.0,40.0,24,48,75,166,187,38,0,4.85,4.9,4.96,4.96,4.99,4.9,4.88,00000094522,1,0,1,0,1.68
310,310,9916154,2024-12-25,city scrape,50987302,,,0%,f,2,3,"['email', 'phone']","Athina, Greece",37.97924,23.74242,Private room in rental unit,Private room,4,1.0,1.0,4.0,"[""Air conditioning"", ""Lock on bedroom door"", ""Hangers"", ""Elevator"", ""Pool"", ""TV"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Smoke alarm"", ""Wifi""]",400.0,1,7,1,1,7,7,1.0,7.0,28,58,88,363,0,0,0,,,,,,,,,2,0,2,0,
315,315,6982366,2024-12-25,city scrape,33200523,within a few hours,100%,92%,t,8,13,"['email', 'phone']","Athina, Greece",37.99902,23.72366,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Patio or balcony"", ""Oven"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Elevator"", ""Wifi""]",16.0,7,65,7,7,65,65,7.0,65.0,18,48,78,78,17,2,0,4.71,4.59,4.47,4.94,4.94,4.12,4.47,00001553541,7,4,3,0,0.15
326,326,7285676,2024-12-26,previous scrape,35561034,within an hour,100%,97%,t,4,4,"['email', 'phone']","Αθήνα, ΑΤΤΙΚΗ, Greece",37.97843,23.70829,Private room in rental unit,Private room,2,,,,"[""Air conditioning"", ""City skyline view"", ""Kitchen"", ""Iron"", ""Dishes and silverware"", ""Washer"", ""Free street parking"", ""TV"", ""Shampoo"", ""Essentials"", ""Elevator"", ""Heating"", ""Wifi"", ""Coffee maker""]",,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,355,50,0,4.79,4.84,4.67,4.94,4.97,4.91,4.82,00002601600,4,2,2,0,3.1
329,329,7379890,2024-12-25,city scrape,21262321,,,0%,f,1,1,"['email', 'phone']","Athina, Greece",37.99985,23.74278,Private room in rental unit,Private room,2,1.5,1.0,1.0,"[""Dishes and silverware"", ""Washer"", ""Exterior security cameras on property"", ""Shower gel"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Refrigerator"", ""Record player"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Drying rack for clothing"", ""BOSCH stainless steel oven"", ""Electric stove"", ""Hangers"", ""Freezer"", ""Sound system"", ""Hot water"", ""Paid parking garage on premises"", ""Microwave"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Mosquito net"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker: espresso machine""]",24.0,3,1125,3,3,1125,1125,3.0,1125.0,23,53,83,358,18,0,0,4.61,4.94,4.83,4.88,4.61,4.12,4.76,00001444850,1,0,1,0,0.16
334,334,10277662,2024-12-25,city scrape,33200523,within a few hours,100%,92%,t,8,13,"['email', 'phone']","Athina, Greece",38.00047,23.72585,Private room in condo,Private room,1,1.0,1.0,2.0,"[""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Portable heater"", ""Ethernet connection"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Outdoor shower"", ""Mini fridge"", ""Outdoor dining area"", ""Shampoo"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker: espresso machine""]",16.0,7,90,7,7,90,90,7.0,90.0,30,60,90,90,4,0,0,4.0,4.0,4.25,4.5,4.25,3.75,3.75,00001554176,7,4,3,0,0.04
349,349,7731909,2024-12-25,city scrape,40630534,within an hour,100%,99%,t,2,2,"['email', 'phone']","Athina, Greece",38.00363159179688,23.7297592163086,Private room in condo,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Central air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Bikes"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Pets allowed"", ""Exercise equipment: free weights, yoga mat"", ""Hangers"", ""Freezer"", ""Elevator"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Paid washer"", ""Stove"", ""Baking sheet"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Bed linens"", ""Mini fridge"", ""Paid parking garage off premises"", ""Shampoo"", ""Mosquito net"", ""Bathtub"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Coffee maker: drip coffee maker, espresso machine"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""HDTV with Netflix"", ""Babysitter recommendations"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Board games"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Paid dryer \u2013 In unit"", ""Portable fans"", ""Wifi""]",25.0,1,1125,1,3,1125,1125,2.1,1125.0,16,42,72,330,152,63,3,4.85,4.88,4.69,4.89,4.9,4.56,4.85,00002684934,2,0,2,0,1.51
356,356,10513581,2024-12-26,city scrape,54077625,within an hour,100%,100%,f,3,3,"['email', 'phone', 'work_email']",,37.97616,23.7316,Room in hotel,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""TV"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Paid parking on premises"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Shampoo"", ""Building staff"", ""First aid kit"", ""Fire extinguisher"", ""Elevator"", ""Wifi""]",65.0,1,1125,1,1,1125,1125,1.0,1125.0,17,38,56,305,4,0,0,4.25,4.25,4.25,4.5,4.25,5.0,4.0,0206K012A0021900,3,0,1,0,0.08
360,360,10673551,2024-12-25,city scrape,55133500,within a few hours,100%,100%,t,1,2,"['email', 'phone', 'work_email']","Athina, Greece",37.9737,23.74782,Private room in condo,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Cleaning products"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Clothing storage"", ""Pets allowed"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Long term stays allowed"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Bathtub"", ""Dishwasher"", ""First aid kit"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Body soap"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",27.0,5,60,5,5,60,60,5.0,60.0,27,57,87,161,79,8,0,4.62,4.73,4.37,4.76,4.82,4.86,4.72,00002553344,1,0,1,0,0.73
390,390,8551279,2024-12-25,city scrape,223226,,,,f,3,3,"['email', 'phone']","Athina, Greece",37.99572,23.74651,Private room in rental unit,Private room,2,2.0,1.0,1.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Cooking basics"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Bathtub"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Elevator"", ""Wifi"", ""Coffee maker""]",16.0,4,90,4,4,1125,1125,4.0,1125.0,0,0,0,0,180,0,0,4.78,4.84,4.73,4.93,4.91,4.48,4.81,00000920301,2,0,2,0,1.7
