,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6,6,912425,2024-12-25,city scrape,4895605,,,100%,t,1,1,"['email', 'phone']","Athina, Attica, Greece",37.99374,23.73083,Entire rental unit,Entire home/apt,6,1.5,3.0,5.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Dedicated workspace"", ""Cooking basics"", ""Portable heater"", ""Clothing storage"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Patio or balcony"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Laundromat nearby"", ""Long term stays allowed"", ""Window AC unit"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Portable fans"", ""Wifi""]",100.0,3,30,3,3,1125,1125,3.0,1125.0,0,22,52,312,76,7,0,4.91,4.92,4.88,4.97,4.97,4.61,4.84,00000348986,1,1,0,0,0.83
8,8,49489,2024-12-26,city scrape,225612,within an hour,100%,79%,f,1,2,"['email', 'phone', 'work_email']","Athens, Αττική, Greece",37.9767,23.73064,Entire rental unit,Entire home/apt,7,1.5,3.0,4.0,"[""Dishes and silverware"", ""Washer"", ""Children\u2019s books and toys"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Hangers"", ""Patio or balcony"", ""High chair"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",200.0,2,365,2,2,1125,1125,2.0,1125.0,21,51,81,354,140,4,0,4.68,4.78,4.69,4.84,4.86,4.88,4.7,00000876484,1,1,0,0,0.86
14,14,270611,2024-12-25,city scrape,1416651,a few days or more,0%,50%,f,1,1,"['email', 'phone']",,37.98586,23.72432,Entire rental unit,Entire home/apt,6,1.0,2.0,8.0,"[""Dishes and silverware"", ""Washer"", ""Conditioner"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Ethernet connection"", ""Private entrance"", ""Electric stove"", ""Hangers"", ""Dryer"", ""Freezer"", ""Hot water"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Extra pillows and blankets"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Coffee maker""]",50.0,3,1125,3,3,1125,1125,3.0,1125.0,29,59,89,364,46,0,0,4.64,4.85,4.67,4.89,4.8,4.22,4.6,00000040022,1,1,0,0,0.31
16,16,940213,2024-12-26,previous scrape,1418201,within an hour,100%,99%,t,40,51,"['email', 'phone']","Athens, Attica, Greece",37.9802,23.72357,Entire rental unit,Entire home/apt,12,,3.0,,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Toaster"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Cooking basics"", ""Drying rack for clothing"", ""Private entrance"", ""Clothing storage"", ""Electric stove"", ""Hangers"", ""Freezer"", ""Patio or balcony"", ""High chair"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Outdoor dining area"", ""Shampoo"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Babysitter recommendations"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Central heating"", ""Shared backyard \u2013 Fully fenced"", ""Kitchen"", ""Body soap"", ""Pack \u2019n play/Travel crib - available upon request"", ""Wifi \u2013 11 Mbps"", ""Fire extinguisher"", ""Coffee maker""]",,2,365,2,2,365,365,2.0,365.0,0,0,0,0,30,2,0,4.83,4.72,4.9,4.83,4.97,4.86,4.76,00002962707,39,39,0,0,0.22
17,17,947552,2024-12-25,city scrape,5136160,within a few hours,100%,100%,f,1,1,"['email', 'phone']","Athens, Attica, Greece",37.97911,23.74553,Entire condo,Entire home/apt,5,1.0,1.0,2.0,"[""Heating - split type ductless system"", ""Dishes and silverware"", ""Smoking allowed"", ""Cleaning products"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Drying rack for clothing"", ""Ethernet connection"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Baby bath - available upon request"", ""Oven"", ""High chair - available upon request"", ""Baking sheet"", ""43 inch HDTV"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""AC - split type ductless system"", ""Paid parking garage off premises"", ""Fast wifi \u2013 100 Mbps"", ""Bathtub"", ""Coffee maker: pour-over coffee"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Hot water kettle"", ""Dining table"", ""Outdoor furniture"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""PITSOS stainless steel electric stove"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s dinnerware"", ""Elevator"", ""Portable fans""]",90.0,4,1125,4,4,1125,1125,4.0,1125.0,17,47,77,167,64,7,0,4.63,4.67,4.56,4.92,4.98,4.91,4.53,00000243065,1,1,0,0,0.45
18,18,956538,2024-12-25,city scrape,229526838,within an hour,100%,100%,t,18,20,"['email', 'phone']","Athens, Attica, Greece",37.98058,23.72337,Entire condo,Entire home/apt,5,1.5,2.0,2.0,"[""Heating - split type ductless system"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Teka stainless steel gas stove"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Crib - available upon request"", ""Sun loungers"", ""Hangers"", ""Freezer"", ""Clothing storage: closet"", ""Hot water"", ""Books and reading material"", ""Blender"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""24 inch HDTV with standard cable"", ""City skyline view"", ""Iron"", ""Bed linens"", ""AC - split type ductless system"", ""Paid parking garage off premises"", ""Sound system with aux"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Teka stainless steel single oven"", ""Babysitter recommendations"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""Various shampoo"", ""Various body soap"", ""Elevator"", ""Wifi"", ""Coffee maker: espresso machine""]",140.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,84,35,0,4.88,4.94,4.98,4.88,4.94,4.69,4.86,00001936549,11,8,3,0,0.62
23,23,361393,2024-12-25,city scrape,1826598,within an hour,100%,100%,f,4,5,"['email', 'phone']","Athens, Attica, Greece",37.97774,23.73,Entire rental unit,Entire home/apt,8,1.0,2.0,4.0,"[""Coffee"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Drying rack for clothing"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Dryer"", ""Freezer"", ""High chair"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Mosquito net"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""Extra pillows and blankets"", ""Kitchen"", ""Body soap"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",89.0,1,1125,1,1,1125,1125,1.0,1125.0,22,52,82,192,219,2,0,4.69,4.74,4.79,4.84,4.84,4.75,4.7,00002514973,3,3,0,0,1.42
29,29,1021237,2024-12-25,city scrape,5620986,within a day,100%,100%,t,1,1,"['email', 'phone']","Athens, Attica, Greece",37.97874,23.74259,Entire condo,Entire home/apt,5,1.0,2.0,2.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Refrigerator"", ""Fast wifi \u2013 93 Mbps"", ""Free dryer \u2013 In unit"", ""Dedicated workspace"", ""Park view"", ""Safe"", ""Cooking basics"", ""Drying rack for clothing"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Blender"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Window AC unit"", ""Iron"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Bed linens"", ""Paid parking garage off premises"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""Body soap"", ""Carbon monoxide alarm"", ""Stainless steel induction stove"", ""Elevator"", ""TV with standard cable"", ""Coffee maker: espresso machine""]",110.0,3,1000,3,3,1125,1125,3.0,1125.0,22,52,80,281,62,7,0,4.94,5.0,5.0,5.0,4.98,4.89,4.89,00000362005,1,1,0,0,0.45
30,30,1046994,2024-12-26,city scrape,1418201,within an hour,100%,99%,t,40,51,"['email', 'phone']","Athens, Attica, Greece",37.9802,23.72357,Entire rental unit,Entire home/apt,16,4.0,4.0,6.0,"[""Host greets you"", ""Coffee"", ""Wifi \u2013 15 Mbps"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Drying rack for clothing"", ""Coffee maker: french press"", ""Private entrance"", ""Clothing storage"", ""Electric stove"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Freezer"", ""Patio or balcony"", ""High chair"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Microwave"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""City skyline view"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Outdoor dining area"", ""Shampoo"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""Babysitter recommendations"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Central heating"", ""Kitchen"", ""Body soap"", ""Pack \u2019n play/Travel crib - available upon request"", ""Fire extinguisher""]",400.0,2,365,2,2,365,365,2.0,365.0,0,0,0,2,46,9,1,4.85,4.84,4.87,4.96,5.0,4.86,4.89,00002962707,39,39,0,0,0.37
36,36,484925,2024-12-25,city scrape,2371962,within an hour,100%,97%,t,2,2,"['email', 'phone']",,37.97291,23.72739,Entire home,Entire home/apt,5,1.0,2.0,3.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Cleaning products"", ""Shower gel"", ""TV"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Essentials"", ""Game console"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Drying rack for clothing"", ""Sun loungers"", ""Private entrance"", ""Baby safety gates"", ""Hangers"", ""Sound system"", ""High chair"", ""Crib"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Baby monitor"", ""Outdoor playground"", ""Baking sheet"", ""Microwave"", ""Smart lock"", ""Long term stays allowed"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Window guards"", ""Outdoor dining area"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Body soap"", ""Fire extinguisher"", ""Portable fans"", ""Wifi"", ""Coffee maker""]",219.0,2,20,1,2,20,20,1.8,20.0,23,46,74,330,407,42,1,4.93,4.96,4.95,4.94,4.85,4.97,4.88,00000223898,2,2,0,0,2.66
